unique_id,feature_name,honorees,city,county,state,stabr,statename,lea_name,sch_name
235,"Stonewall Jackson Middle School (renamed ""Roberto Clemente Middle School"")","Thomas Jonathan ""Stonewall"" Jackson",Orlando,Orange,FL,FL,FLORIDA,ORANGE,STONEWALL JACKSON MIDDLE
236,"Lee Elementary School (renamed ""Tampa Heights Elementary"")",Robert E. Lee,Tampa,Hillsborough,FL,FL,FLORIDA,HILLSBOROUGH,LEE ELEMENTARY MAGNET SCHOOL
1976,"Robert E. Lee Elementary School (renamed ""Pacific View Leadership Elementary Sc)",Robert E. Lee,San Diego,San Diego,CA,CA,CALIFORNIA,San Diego Unified,Lee Elementary
1250,"Robert E. Lee Elementary School (renamed ""Delmas Morton Elementary"")",Robert E. Lee,Grand Prairie,Dallas,TX,TX,TEXAS,GRAND PRAIRIE ISD,ROBERT E LEE EL
1251,"Albert Sidney Johnston Middle School (renamed ""Meyerland Performing & Visual A"")",Albert Sidney Johnston,Houston,Harris,TX,TX,TEXAS,HOUSTON ISD,JOHNSTON MIDDLE
1252,"Jefferson Davis High School (renamed ""Northside High School"")",Jefferson Davis,Houston,Harris,TX,TX,TEXAS,HOUSTON ISD,DAVIS H S
1253,"Richard Dowling Middle School (renamed ""Audrey H. Lawson Middle School"")",Richard W. Dowling,Houston,Harris,TX,,,,
1254,"John H. Reagan High School (renamed ""Heights High School"")",John Henninger Reagan,Houston,Harris,TX,TX,TEXAS,HOUSTON ISD,REAGAN H S
1255,"Stonewall Jackson Middle School (renamed ""Yolanda Black Navarro Middle School"")","Thomas Jonathan ""Stonewall"" Jackson",Houston,Harris,TX,,,,
728,"Davis Magnet School (renamed ""Barack H. Obama Magnet School"")",Jefferson Davis,Jackson,Hinds,MS,MS,MISSISSIPPI,JACKSON PUBLIC SCHOOL DIST,DAVIS MAGNET SCHOOL
1859,"John B. Hood Middle School (renamed ""Piedmont G.L.O.B.A.L. Academy"")",John Bell Hood,Dallas,Dallas,TX,TX,TEXAS,DALLAS ISD,JOHN B HOOD MIDDLE
2028,"Nathan B. Forrest High School (renamed ""Westside High School"")",Nathan Bedford Forrest,Jacksonville,Duval,FL,FL,FLORIDA,DUVAL,WESTSIDE HIGH SCHOOL
2029,"The Campus at Lee (renamed ""Hampton City Schools Adult & Alternative Learning"")",Robert E. Lee,Hampton,Hampton City,VA,,,,
2030,"The Allan Facility (renamed ""Anita Ferrales Coy Facility"")",John T. Allan,Austin,Travis,TX,,,,
